"","name","age","mw","league","year","points","ranking","logmw"
"194","Arles",26.1,0.762,"Ligue 1",2011,20,20,-0.271808723295491
"195","Brest",24.8,0.789,"Ligue 1",2011,46,16,-0.236988958136263
"196","Caen",23.8,0.803,"Ligue 1",2011,46,17,-0.219400565035375
"197","Chelsea",26.3,15.58,"Premier League",2012,64,6,2.7459880404426
"198","Man City",24.7,13.58,"Premier League",2012,89,1,2.60859812213055
"199","Man United",23.6,9.71,"Premier League",2012,89,2,2.27315628230323
"200","Tottenham",24.2,6.45,"Premier League",2012,69,4,1.86408013080768
"201","Arsenal",23.3,7.1,"Premier League",2012,70,3,1.96009478404727
"202","Liverpool",25,8.85,"Premier League",2012,52,9,2.18041745901984
"203","Everton",25.6,5.59,"Premier League",2012,56,7,1.72097928716701
"204","Aston Villa",25.3,4.64,"Premier League",2012,38,16,1.53471436623816
"205","Sunderland",25,3.79,"Premier League",2012,45,14,1.33236601909433
"206","Newcastle",24.1,3.44,"Premier League",2012,65,5,1.23547147138531
"207","Stoke",27.9,3.84,"Premier League",2012,45,13,1.34547236659964
"208","Fulham",26.1,3.29,"Premier League",2012,52,8,1.19088756477728
"209","QPR",27,2.31,"Premier League",2012,37,17,0.837247524533702
"210","Bolton",25.2,2.65,"Premier League",2012,36,18,0.974559639998131
"211","Blackburn",24.5,2.52,"Premier League",2012,31,19,0.924258901523332
"212","Wolves",24.1,2.34,"Premier League",2012,25,20,0.85015092936961
"213","West Brom",25,2.26,"Premier League",2012,47,10,0.815364813284194
"214","Wigan",25.4,2.41,"Premier League",2012,43,15,0.879626747502564
"215","Swansea",24.8,1.27,"Premier League",2012,47,11,0.2390169004705
"216","Norwich",24.5,0.776,"Premier League",2012,47,12,-0.253602758798918
"217","Barcelona",23.9,17.76,"LaLiga",2012,91,2,2.87694873756402
"218","Real Madrid",23.7,16.41,"LaLiga",2012,100,1,2.797890905102
"219","Ath Madrid",23.8,6.12,"LaLiga",2012,56,5,1.81156209652423
"220","Valencia",24.9,6.29,"LaLiga",2012,61,3,1.83896107071235
"221","Villarreal",24.4,4.42,"LaLiga",2012,41,18,1.48613969608961
"222","Sevilla",24.4,4.55,"LaLiga",2012,50,9,1.51512723296286
"223","Malaga",26,4.01,"LaLiga",2012,58,4,1.38879124131848
"224","Ath Bilbao",24.2,3.82,"LaLiga",2012,49,10,1.34025042261848
"225","Getafe",25.9,2.56,"LaLiga",2012,47,11,0.940007258491471
"226","Espanol",23.4,2.19,"LaLiga",2012,46,14,0.783901543828409
"227","Zaragoza",25.5,2.34,"LaLiga",2012,43,15,0.85015092936961
"228","Sociedad",24.4,2.8,"LaLiga",2012,47,12,1.02961941718116
"229","Mallorca",23.9,1.97,"LaLiga",2012,52,8,0.678033542749897
"230","Granada",26.5,1.85,"LaLiga",2012,42,17,0.615185639090233
"231","Sp Gijon",25.3,1.6,"LaLiga",2012,37,19,0.470003629245736
"232","Betis",25.3,1.42,"LaLiga",2012,47,13,0.350656871613169
"233","Santander",23.6,1.28,"LaLiga",2012,27,20,0.246860077931526
"234","Levante",26.6,1.28,"LaLiga",2012,55,6,0.246860077931526
"235","Osasuna",26.1,1.26,"LaLiga",2012,54,7,0.231111720963387
"236","Vallecano",25.2,1,"LaLiga",2012,43,16,0
"237","Inter",24.4,8.09,"Serie A",2012,58,6,2.0906287310704
"238","Juventus",26.8,8.54,"Serie A",2012,84,1,2.14476100780048
"239","Milan",25.3,6.45,"Serie A",2012,80,2,1.86408013080768
"240","Roma",24.5,4.71,"Serie A",2012,56,7,1.54968790802833
"241","Napoli",23,3.52,"Serie A",2012,61,5,1.25846098961001
"242","Fiorentina",23.7,4.2,"Serie A",2012,46,13,1.43508452528932
"243","Genoa",24.8,3.33,"Serie A",2012,42,17,1.20297230399235
"244","Palermo",23.5,2.63,"Serie A",2012,43,15,0.966983846189673
"245","Lazio",24.1,2.26,"Serie A",2012,62,4,0.815364813284194
"246","Udinese",22.4,2.22,"Serie A",2012,64,3,0.797507195884188
"247","Parma",24.2,2.05,"Serie A",2012,56,8,0.717839793150317
"248","Cagliari",23.8,2.05,"Serie A",2012,43,16,0.717839793150317
"249","Bologna",23.8,1.63,"Serie A",2012,51,10,0.488580014818671
"250","Cesena",24.2,1.39,"Serie A",2012,22,20,0.3293037471426
"251","Catania",25.5,1.55,"Serie A",2012,48,12,0.438254930931155
"252","Atalanta",26.4,1.65,"Serie A",2012,52,9,0.500775287912489
"253","Chievo",25.2,1.27,"Serie A",2012,49,11,0.2390169004705
"254","Siena",25.9,1.18,"Serie A",2012,44,14,0.165514438477573
"255","Lecce",24.8,0.903,"Serie A",2012,36,18,-0.102032725565152
"256","Novara",25.8,0.86,"Serie A",2012,32,19,-0.150822889734584
"257","Bayern Munich",25.1,13.98,"1. Bundesliga",2012,73,2,2.63762773680566
